SL,CATEGORY,Brand,TYPE/FLAVOUR,ORIGINE,SKU,PACK TYPE,CODE,VERSION,DATE,BARCODE,CYLINDER COMPANY,PRINTING COMPANY,,,,,,,,,
0,FRUIT DRINK,AAFI,GUAVA,,250ML,PET,EAGDQP,,,,,,,,,,,,,,
0,FRUIT DRINK,AAFI,GUAVA,,200ML,BRICK,,,, ,,,,,,,,,,,
0,FRUIT DRINK,AAFI,LITCHI,,180ML,PET,EALD180,,,,,,,,,,,,,,
0,FRUIT DRINK,AAFI,LITCHI,,250LML,PET,EALQP,,,89411896 0582,,,,,,,,,,,
0,FRUIT DRINK,AAFI,LITCHI,GCC,260ML,PET,EALQPX,EALQPXV1,2024-01-01,89411896 06084,,,,,,,,,,,
0,BEVERAGE,WILD BREW,MALT BEVERAGE,COMMON,250ML,CAN,WQC,WQCV4,2025-04-25,89411896 00402,,,,,,,,,,,
0,SNACKS,CHEESE PUFFS,CHEESE,COMMON,18G,PILLOW,CPS18,CPS17VN00,,89411896 00914,,,,,,,,,,,
0,SNACKS,AAFI,FRUIT BAR MANGO,LOCAL,20G,FOIL,FBML,FBMLVN00,,89411896 0712,,,,,,,,,,,
0,SNACKS,AAFI,CHANACHUR (HOT),LOCAL,30G,PILLOW,ACT,ACJL3V01,2023-11-07,89411896 00822,,,,,,,,,,,
0,SNACKS,AAFI,CHANACHUR (HOT),LOCAL,50G,PILLOW,ACJ60,ACJ50V3,2024-08-01,89411896 00839,BANGLA-SHANGHAI PLATE MAKING LTD.,PREMIAFLEX PLASTICS LTD.,,,,,,,,,
0,SNACKS,AAFI,CHANACHUR (HOT),,80G,PILLOW,ACM,,,89411896 0077,,,,,,,,,,,
0,SNACKS,AAFI,CHANACHUR (HOT),LOCAL,150G,PILLOW,AC150,AC150V2,2024-08-01,89411896 00846,BANGLA-SHANGHAI PLATE MAKING LTD.,PREMIAFLEX PLASTICS LTD.,,,,,,,,,
0,SNACKS,AAFI,CHANACHUR (HOT),LOCAL,300G,PILLOW,ACJ300,ACJ300V2,2024-08-01,89411896 00853,BANGLA-SHANGHAI PLATE MAKING LTD.,PREMIAFLEX PLASTICS LTD.,,,,,,,,,
0,CONDIMENTS,AAFI,MANGO PICKLE,EXPORT,400G,GLASS JAR,EAMHP,EAMHPV02,2024-02-07,89411896 06619,,,,,,,,,,,
